order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,price,freight_value,customer_city,customer_state,review_score
delivered,2018-01-02 12:56:14,2018-01-02 13:08:01,2018-01-03 22:14:44,230.0,16.36,linhares,ES,5.0
shipped,2018-01-09 12:23:00,2018-01-10 10:32:29,2018-01-17 18:45:24,69.99,14.24,rio de janeiro,RJ,2.0
delivered,2017-05-16 08:43:59,2017-05-16 08:55:15,2017-05-16 09:38:02,65.9,14.21,pedro leopoldo,MG,5.0
delivered,2018-07-21 21:08:03,2018-07-21 21:35:07,2018-07-24 07:15:00,26.9,12.85,sao paulo,SP,5.0
delivered,2018-08-22 21:48:00,2018-08-22 22:04:35,2018-08-23 12:31:00,99.84,17.7,osasco,SP,5.0
delivered,2018-05-05 11:54:07,2018-05-08 04:32:55,2018-05-08 11:42:00,24.16,7.39,santo andre,SP,5.0
delivered,2018-08-16 19:10:02,2018-08-18 02:49:59,2018-08-21 11:37:00,75.0,23.33,goiania,GO,5.0
delivered,2017-07-12 19:56:51,2017-07-14 02:25:49,2017-07-14 16:43:52,149.99,17.3,rio de janeiro,RJ,5.0
delivered,2018-08-12 11:16:23,2018-08-12 11:25:08,2018-08-13 15:20:00,179.2,23.18,quijingue,BA,4.0
delivered,2017-10-25 16:40:50,2017-10-25 16:50:02,2017-10-30 22:09:11,43.0,17.6,sao pedro da aldeia,RJ,2.0
delivered,2017-12-15 10:48:11,2017-12-15 10:58:23,2017-12-20 12:51:58,120.0,14.43,rio de janeiro,RJ,4.0
delivered,2018-08-14 16:06:30,2018-08-14 16:44:03,2018-08-16 13:57:00,43.0,12.96,sao paulo,SP,5.0
delivered,2018-02-13 12:51:31,2018-02-13 14:35:24,2018-02-15 20:28:47,70.0,17.6,sao joao del rei,MG,2.0
delivered,2018-08-27 14:21:30,2018-08-27 14:35:24,2018-08-28 13:37:00,180.0,12.28,praia grande,SP,5.0
delivered,2018-08-12 16:08:03,2018-08-12 16:24:26,2018-08-13 15:26:00,34.9,19.43,rio de janeiro,RJ,4.0
delivered,2017-05-20 17:14:45,2017-05-20 17:25:13,2017-05-23 15:54:37,69.9,16.25,caete,MG,5.0
delivered,2018-07-12 10:15:19,2018-07-12 10:26:05,2018-07-13 09:11:00,34.9,9.55,poa,SP,3.0
delivered,2017-05-11 16:36:32,2017-05-11 16:45:25,2017-05-12 12:05:57,59.9,17.67,guararapes,SP,5.0
delivered,2018-08-03 20:51:31,2018-08-04 04:15:34,2018-08-07 12:06:00,119.99,44.64,jaboticabal,SP,5.0
delivered,2017-03-25 22:15:25,2017-03-25 22:15:25,2017-03-29 15:55:51,139.99,17.41,brasilia,DF,3.0
delivered,2018-06-10 19:37:05,2018-06-10 19:51:42,2018-06-11 15:07:00,141.98,11.15,sao paulo,SP,5.0
delivered,2018-01-15 14:18:00,2018-01-15 14:30:06,2018-01-15 22:18:10,199.99,30.81,teresina,PI,4.0
delivered,2018-08-15 00:38:31,2018-08-15 00:50:15,2018-08-15 13:28:00,369.9,24.52,goiania,GO,5.0
delivered,2018-07-25 10:16:15,2018-07-25 10:30:20,2018-07-26 14:31:00,238.1,15.934999999999999,rio de janeiro,RJ,5.0
delivered,2018-03-10 03:25:22,2018-03-10 04:10:48,2018-03-14 00:51:38,24.99,7.39,sao bernardo do campo,SP,3.0
delivered,2018-08-07 22:04:34,2018-08-07 22:15:22,2018-08-15 17:06:00,139.9,16.29,belo horizonte,MG,3.0
delivered,2018-02-02 10:33:55,2018-02-06 04:32:12,2018-02-09 19:08:47,39.9,12.48,campinas,SP,5.0
delivered,2018-05-15 22:43:45,2018-05-15 22:55:28,2018-05-16 15:33:00,39.9,35.9,maracanau,CE,5.0
delivered,2018-01-12 11:51:48,2018-01-13 04:54:45,2018-01-15 23:52:31,93.0,13.21,sao paulo,SP,5.0
delivered,2017-09-18 20:11:16,2017-09-18 20:25:12,2017-09-20 20:50:00,335.4,3.001666666666667,rio de janeiro,RJ,5.0
delivered,2018-07-10 13:44:28,2018-07-10 13:55:19,2018-07-10 16:04:00,89.9,15.7,sao paulo,SP,4.0
delivered,2017-01-26 11:48:46,2017-01-26 12:02:13,2017-01-31 16:23:57,27.9,8.72,sao paulo,SP,5.0
delivered,2018-04-20 15:30:13,2018-04-24 18:59:19,2018-04-23 17:56:55,22.35,7.39,sao paulo,SP,1.0
delivered,2017-12-04 23:17:06,2017-12-06 23:12:56,2017-12-08 00:27:44,149.91,13.64,sao joaquim de bicas,MG,2.0
delivered,2017-05-21 19:59:32,2017-05-21 20:10:20,2017-05-22 13:47:07,16.9,7.78,santana de parnaiba,SP,5.0
delivered,2017-11-07 19:38:03,2017-11-07 19:50:54,2017-11-08 15:46:35,89.9,16.26,franco da rocha,SP,5.0
delivered,2018-07-12 21:51:56,2018-07-12 22:05:13,2018-07-31 14:10:00,66.99,27.75,sao paulo,SP,1.0
delivered,2018-02-14 18:23:09,2018-02-16 07:51:13,2018-02-16 19:19:20,160.0,12.33,mogi das cruzes,SP,5.0
delivered,2018-02-18 22:05:33,2018-02-19 10:10:42,2018-02-20 20:37:16,137.9,21.46,campo ere,SC,5.0
delivered,2017-11-19 13:23:00,2017-11-19 13:46:18,2017-11-21 22:56:58,429.9,18.77,bandeirantes,PR,4.0
delivered,2017-09-27 13:54:33,2017-09-27 14:07:10,2017-10-04 13:08:11,79.9,28.96,gurupi,TO,5.0
delivered,2017-11-24 17:02:46,2017-11-24 20:36:04,2017-11-28 00:03:14,28.9,14.1,duque de caxias,RJ,5.0
delivered,2018-05-28 21:16:42,2018-05-28 21:30:22,2018-05-29 13:53:00,28.9,18.23,praia grande,SP,5.0
delivered,2017-05-09 23:09:43,2017-05-09 23:22:28,2017-05-15 14:04:22,13.98,14.1,rio de janeiro,RJ,5.0
delivered,2017-05-25 23:53:14,2017-05-27 02:45:20,2017-05-29 08:43:42,39.9,12.48,bom despacho,MG,5.0
delivered,2018-03-26 11:13:03,2018-03-26 11:47:43,2018-03-27 18:16:51,151.9,47.5,toritama,PE,5.0
delivered,2018-01-12 22:34:15,2018-01-12 23:16:27,2018-01-15 20:32:50,79.0,16.18,santos,SP,5.0
delivered,2018-01-18 20:34:47,2018-01-18 21:32:32,2018-01-19 19:26:33,22.8,11.85,sao paulo,SP,5.0
delivered,2017-05-02 10:51:29,2017-05-02 11:03:05,2017-05-04 07:35:54,78.0,15.66,fernandopolis,SP,5.0
delivered,2018-01-04 09:07:49,2018-01-04 09:19:30,2018-01-08 21:05:42,69.9,20.98,barra do pirai,RJ,5.0
delivered,2018-06-15 22:08:34,2018-06-15 22:40:34,2018-06-18 14:11:00,230.0,42.99,quipapa,PE,5.0
delivered,2018-05-16 14:20:47,2018-05-16 15:34:51,2018-05-19 07:50:00,53.9,22.96,guacui,ES,5.0
delivered,2018-07-04 17:27:56,2018-07-05 16:22:17,2018-07-05 14:06:00,79.9,19.75,rio de janeiro,RJ,5.0
delivered,2018-08-16 20:43:40,2018-08-16 21:09:35,2018-08-17 12:05:00,24.89,18.27,virginopolis,MG,5.0
delivered,2017-12-23 15:48:34,2017-12-23 16:09:48,2017-12-26 23:14:37,86.9,17.86,araucaria,PR,3.0
delivered,2018-06-07 06:51:59,2018-06-09 03:13:22,2018-06-15 14:58:00,105.0,23.66,erechim,RS,4.0
delivered,2017-12-24 00:13:16,2017-12-24 00:19:28,2018-01-02 22:37:13,110.0,18.02,taquaritinga,SP,5.0
delivered,2018-01-21 15:47:33,2018-01-22 13:52:19,2018-01-24 18:33:51,199.9,20.64,blumenau,SC,1.0
delivered,2018-03-01 09:10:11,2018-03-01 09:33:11,2018-03-02 20:56:45,229.99,18.86,japeri,RJ,1.0
delivered,2018-03-05 12:02:25,2018-03-05 13:55:51,2018-03-06 23:24:53,18.0,15.1,jaragua,GO,5.0
